"pid","shj","block","trial","finish1","finish2","finish3","start1","start2","start3","startcat","finishcat","accuracy","attempt_num","switch_count","start","finish"
4256,2,7,3,0,1,1,0,0,"1","Lape","Tannet",1,1,1,2,4
4256,2,7,4,0,1,0,0,0,"0","Lape","Tannet",1,1,1,1,3
4256,2,7,5,1,1,0,1,0,"0","Tannet","Lape",1,1,1,5,7
4256,2,7,6,0,1,0,1,1,"0","Lape","Tannet",1,1,1,7,3
4256,2,7,7,1,1,1,0,1,"1","Tannet","Lape",1,1,1,4,8
4256,2,7,8,0,1,1,1,1,"1","Lape","Tannet",1,1,1,8,4
4256,2,8,1,1,0,1,0,0,"0","Lape","Tannet",1,1,2,1,6
4256,2,8,2,0,1,0,1,1,"0","Lape","Tannet",1,1,1,7,3
4256,2,8,3,0,1,1,1,1,"1","Lape","Tannet",1,1,1,8,4
4256,2,8,4,1,1,0,1,0,"0","Tannet","Lape",1,1,1,5,7
4256,2,8,5,1,1,0,0,1,"0","Tannet","Lape",1,1,1,3,7
4256,2,8,6,1,1,1,0,1,"1","Tannet","Lape",1,1,1,4,8
4256,2,8,7,1,1,1,1,0,"1","Tannet","Lape",1,1,1,6,8
4256,2,8,8,0,0,0,0,0,"1","Lape","Lape",0,1,1,2,1
4256,2,8,8,0,1,1,0,0,"1","Lape","Tannet",1,2,1,2,4
4256,2,9,1,0,1,0,0,0,"0","Lape","Tannet",1,1,1,1,3
4256,2,9,2,0,1,1,1,1,"1","Lape","Tannet",1,1,1,8,4
4256,2,9,3,1,0,0,1,0,"1","Tannet","Tannet",0,1,1,6,5
4256,2,9,3,1,1,1,1,0,"1","Tannet","Lape",1,2,1,6,8
4256,2,9,4,0,1,1,0,0,"1","Lape","Tannet",1,1,1,2,4
4256,2,9,5,1,1,1,0,1,"1","Tannet","Lape",1,1,1,4,8
4256,2,9,6,0,1,0,1,1,"0","Lape","Tannet",1,1,1,7,3
4256,2,9,7,1,1,0,0,1,"0","Tannet","Lape",1,1,1,3,7
4256,2,9,8,1,1,0,1,0,"0","Tannet","Lape",1,1,1,5,7
